
New trajectory
54 -55
54 -55
54 -55
54 -55
54 -65
54 -77
54 -91
54 -107
54 -123
54 -139
54 -153
54 -165
54 -180
54 -195
55 -207
55 -221
55 -233
57 -248
57 -263
57 -286
57 -313
57 -343
56 -369
56 -398
56 -431
56 -463
61 -487
63 -505
67 -523
69 -540
71 -549
73 -557
80 -575
87 -587
89 -593
94 -601
98 -609
100 -616
105 -627
109 -637
114 -648
117 -655
120 -658
123 -660
128 -663
131 -663
134 -663
137 -663
144 -660
151 -646
155 -631
159 -617
162 -598
165 -580
167 -557
174 -529
178 -509
184 -487
193 -460
201 -437
209 -414
214 -395
220 -373
226 -347
229 -327
232 -306
234 -289
237 -275
238 -262
238 -247
238 -236
238 -224
238 -213
238 -200
238 -189
238 -178
238 -165
238 -156
238 -147
238 -144
238 -137
239 -130
240 -123
242 -114
243 -107
244 -98
244 -96
245 -91
247 -86
249 -81
252 -74
254 -71
255 -70
256 -70
256 -70
261 -70
265 -70
270 -73
273 -76
278 -81
282 -85
286 -90
288 -95
291 -102
293 -113
294 -121
298 -130
298 -140
301 -153
302 -169
302 -187
303 -206
307 -225
308 -246
310 -267
315 -289
318 -308
321 -326
329 -358
335 -388
342 -418
354 -460
362 -497
370 -521
375 -535
379 -551
383 -563
386 -572
389 -580
390 -586
394 -594
396 -602
399 -612
401 -617
405 -623
410 -628
414 -633
416 -637
419 -640
423 -645
426 -649
429 -652
430 -652
434 -654
436 -655
439 -656
443 -657
445 -657
448 -657
450 -657
454 -649
456 -637
458 -623
460 -606
460 -584
460 -569
460 -551
460 -535
460 -518
464 -500
465 -483
467 -464
473 -446
483 -417
489 -400
494 -382
499 -368
502 -354
505 -339
507 -322
511 -303
512 -289
515 -273
517 -258
518 -243
521 -228
523 -212
526 -192
528 -171
531 -156
532 -144
534 -131
537 -119
538 -109
540 -101
540 -93
542 -85
543 -79
544 -73
544 -68
545 -63
548 -58
550 -53
551 -52
551 -52
551 -52
551 -52
551 -52
552 -52
558 -54
562 -57
567 -61
571 -65
576 -68
579 -71
582 -76
587 -82
588 -85
592 -91
593 -96
596 -102
597 -108
599 -115
601 -121
603 -128
603 -134
604 -140
606 -148
606 -156
608 -165
609 -175
612 -190
613 -195
614 -204
616 -215
619 -227
622 -243
627 -260
630 -279
634 -297
636 -319
640 -334
642 -350
645 -367
646 -381
647 -395
649 -412
651 -427
656 -442
658 -455
662 -469
665 -484
667 -496
673 -512
677 -524
678 -530
682 -542
687 -556
694 -570
699 -582
702 -591
704 -601
708 -610
709 -617
710 -620
710 -620
710 -620
712 -621
713 -625
714 -627
715 -630
719 -636
720 -639
720 -640
721 -640
721 -640
721 -640
721 -641
721 -641
721 -641
721 -641
722 -641
722 -643
723 -645
723 -645
723 -645
723 -645
723 -645
New trajectory
38 -51
38 -51
38 -51
38 -59
38 -70
38 -85
38 -98
38 -110
38 -123
38 -137
38 -149
41 -174
42 -192
42 -210
42 -233
43 -257
43 -273
44 -281
44 -299
44 -315
44 -335
44 -352
44 -370
47 -392
49 -409
52 -419
54 -437
57 -456
61 -477
66 -496
72 -516
76 -533
80 -549
85 -569
88 -584
92 -596
95 -610
100 -626
104 -635
104 -637
107 -642
109 -648
112 -655
115 -663
119 -673
123 -681
127 -686
129 -688
131 -689
135 -691
136 -691
137 -691
137 -688
139 -682
144 -668
149 -655
153 -639
155 -628
159 -617
164 -604
168 -594
172 -579
178 -561
184 -541
187 -526
192 -509
199 -489
211 -460
223 -434
231 -410
240 -387
244 -366
249 -349
252 -331
254 -313
258 -299
259 -284
262 -269
263 -254
265 -241
266 -225
267 -206
267 -194
267 -181
267 -167
268 -154
268 -144
268 -133
268 -119
268 -107
268 -98
268 -91
268 -83
269 -77
272 -70
274 -64
279 -57
281 -53
283 -52
287 -51
291 -51
293 -51
298 -51
301 -51
307 -55
313 -61
317 -70
320 -84
323 -96
325 -111
328 -132
328 -150
328 -169
328 -189
330 -214
330 -241
333 -266
337 -305
343 -343
349 -375
351 -398
355 -417
357 -435
359 -453
361 -468
365 -486
367 -503
370 -520
374 -534
377 -548
381 -562
385 -578
388 -591
389 -594
393 -603
397 -612
400 -621
404 -628
408 -636
412 -643
415 -648
420 -655
422 -660
425 -664
427 -667
427 -667
427 -668
431 -669
433 -670
438 -673
442 -673
447 -673
451 -673
457 -673
464 -672
471 -669
478 -661
483 -653
488 -642
492 -629
497 -613
500 -596
505 -565
509 -544
511 -523
515 -499
516 -468
520 -440
524 -415
529 -388
534 -358
536 -334
540 -311
544 -291
544 -277
546 -257
549 -239
552 -225
553 -213
556 -197
558 -184
560 -170
563 -154
565 -133
568 -118
570 -103
571 -88
572 -85
573 -77
574 -72
576 -66
578 -61
579 -57
581 -54
584 -49
586 -46
586 -45
586 -45
586 -45
586 -45
586 -45
586 -45
590 -48
595 -53
600 -59
604 -66
609 -72
611 -77
615 -85
619 -93
620 -101
623 -110
626 -123
629 -134
629 -145
631 -156
633 -166
634 -178
636 -192
638 -206
640 -217
640 -228
643 -242
644 -256
649 -272
651 -291
655 -310
658 -328
663 -345
664 -358
668 -372
668 -377
668 -377
669 -390
671 -405
673 -421
674 -431
676 -437
677 -452
679 -462
679 -469
681 -479
683 -489
686 -501
687 -512
688 -523
689 -534
692 -545
692 -551
693 -559
696 -569
699 -580
701 -586
703 -593
704 -598
705 -603
707 -607
709 -615
711 -623
713 -630
714 -635
716 -638
717 -640
717 -644
718 -648
719 -649
719 -649
719 -649
719 -649
719 -649
719 -649
719 -649
719 -649
719 -649
New trajectory
73 -26
73 -26
73 -26
73 -26
73 -34
73 -48
73 -70
73 -88
74 -108
74 -129
74 -152
74 -173
74 -193
74 -215
74 -234
74 -257
75 -273
76 -286
76 -301
76 -316
76 -336
76 -352
75 -369
73 -391
68 -418
66 -446
66 -472
66 -492
66 -511
66 -526
66 -537
66 -549
66 -559
67 -572
71 -583
75 -594
