
New trajectory
54 -60
54 -60
56 -60
63 -60
78 -60
94 -60
111 -60
140 -60
168 -60
185 -60
198 -58
210 -57
228 -57
257 -57
296 -57
327 -57
349 -57
362 -57
375 -57
391 -56
415 -56
440 -55
476 -55
494 -55
513 -55
540 -51
563 -51
581 -51
601 -51
631 -51
651 -51
664 -51
674 -51
684 -51
696 -51
709 -51
720 -51
736 -51
760 -51
773 -51
781 -51
787 -52
797 -53
806 -55
813 -58
818 -59
827 -62
832 -64
839 -67
843 -68
846 -69
851 -71
855 -77
861 -81
866 -88
871 -93
876 -100
878 -106
881 -114
882 -122
882 -131
882 -139
880 -146
875 -155
869 -161
859 -170
848 -175
838 -181
826 -187
818 -194
809 -199
797 -203
782 -209
771 -211
761 -215
747 -219
735 -221
722 -226
707 -229
693 -232
675 -237
657 -241
637 -245
619 -248
602 -250
585 -254
565 -256
551 -258
534 -260
518 -263
498 -266
478 -268
459 -270
439 -272
413 -276
392 -278
357 -278
330 -282
315 -282
298 -284
276 -288
257 -292
245 -294
236 -294
227 -295
217 -297
207 -299
196 -300
186 -300
176 -300
166 -300
158 -304
150 -305
142 -306
132 -309
125 -313
116 -317
111 -321
106 -326
104 -332
101 -338
100 -342
99 -352
96 -361
91 -367
90 -373
89 -378
89 -388
89 -394
92 -402
94 -408
99 -416
105 -423
110 -428
115 -433
119 -437
121 -439
128 -446
135 -451
142 -456
153 -465
172 -475
190 -484
215 -494
229 -497
237 -500
247 -502
268 -508
286 -512
304 -513
327 -518
344 -523
368 -527
388 -529
409 -533
433 -537
463 -543
495 -548
524 -551
555 -556
572 -556
582 -556
596 -556
608 -556
618 -556
633 -556
650 -556
667 -557
680 -560
691 -561
702 -562
717 -562
734 -565
748 -568
758 -568
766 -568
774 -568
783 -568
790 -570
798 -571
805 -572
812 -575
816 -576
821 -577
826 -580
834 -583
838 -586
843 -588
844 -588
845 -588
847 -593
851 -597
853 -599
858 -605
862 -611
865 -616
870 -624
873 -630
877 -639
881 -648
885 -655
889 -663
889 -668
890 -674
890 -681
890 -688
888 -698
883 -705
881 -709
877 -715
871 -720
859 -726
847 -731
835 -735
826 -738
815 -741
805 -746
795 -753
786 -757
775 -760
762 -761
751 -763
741 -766
731 -766
720 -768
709 -769
694 -772
680 -774
669 -776
657 -778
641 -779
633 -782
615 -786
592 -793
573 -796
552 -798
529 -801
501 -808
472 -813
442 -813
414 -813
395 -813
383 -813
372 -814
366 -814
356 -814
337 -815
322 -815
310 -815
299 -815
286 -815
273 -815
262 -815
252 -815
237 -815
222 -815
212 -815
200 -815
187 -817
177 -817
168 -817
163 -818
155 -818
146 -818
140 -818
133 -818
127 -818
123 -818
120 -818
118 -818
115 -818
112 -818
109 -818
106 -818
98 -818
93 -818
88 -817
86 -817
83 -817
83 -817
83 -817
83 -817
83 -817
83 -817
81 -816
79 -816
75 -815
70 -815
67 -815
63 -815
60 -815
58 -815
55 -815
54 -815
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
54 -814
