
New trajectory
116 -337
116 -337
116 -337
116 -337
116 -337
116 -337
116 -337
116 -337
116 -339
116 -343
115 -346
114 -351
112 -356
112 -361
111 -366
111 -374
111 -381
111 -389
111 -394
111 -397
111 -404
111 -415
111 -429
111 -442
111 -454
111 -470
111 -483
112 -497
114 -508
117 -522
120 -534
124 -545
128 -557
132 -568
136 -577
140 -585
144 -595
148 -604
150 -608
155 -617
159 -624
161 -629
165 -638
169 -643
173 -651
179 -658
184 -665
188 -670
193 -675
198 -680
204 -684
208 -687
212 -690
219 -694
227 -699
235 -702
244 -705
252 -707
262 -710
270 -710
278 -710
284 -710
290 -709
295 -707
301 -704
308 -699
310 -697
317 -692
323 -686
328 -678
332 -671
335 -663
338 -656
340 -648
341 -640
343 -631
344 -621
345 -611
348 -602
350 -592
354 -582
355 -575
358 -569
360 -563
361 -561
363 -558
366 -548
371 -537
374 -527
376 -516
380 -506
384 -491
386 -481
391 -470
396 -454
401 -441
407 -429
412 -419
417 -410
422 -402
426 -395
430 -388
436 -380
440 -376
444 -371
447 -367
452 -363
455 -361
460 -358
463 -357
469 -356
475 -354
481 -354
485 -354
490 -354
494 -354
499 -355
506 -357
511 -360
516 -362
521 -365
527 -369
532 -374
538 -379
544 -385
550 -393
554 -401
557 -408
561 -416
563 -422
567 -431
571 -440
575 -448
579 -460
583 -469
588 -480
593 -491
598 -503
603 -515
607 -524
611 -532
616 -545
620 -556
624 -563
628 -573
633 -581
635 -587
639 -593
644 -602
647 -607
653 -617
658 -625
663 -632
666 -637
670 -642
673 -647
676 -649
678 -654
684 -660
689 -665
695 -670
701 -675
708 -679
714 -683
718 -685
725 -688
731 -690
737 -693
745 -695
751 -697
758 -697
765 -697
771 -697
777 -696
787 -692
795 -687
800 -684
805 -680
812 -671
817 -665
822 -657
828 -645
832 -635
835 -625
840 -616
842 -606
845 -599
848 -587
850 -578
853 -566
854 -556
855 -548
858 -535
859 -524
860 -513
860 -499
860 -485
862 -473
862 -462
862 -451
862 -441
862 -429
862 -416
862 -403
862 -393
861 -383
859 -372
855 -358
851 -336
845 -318
839 -305
837 -295
834 -287
830 -279
827 -271
822 -264
818 -257
813 -248
807 -239
801 -229
794 -219
787 -209
780 -199
773 -189
763 -175
758 -168
753 -162
749 -156
745 -152
740 -147
732 -143
726 -140
718 -136
711 -133
702 -131
694 -128
684 -126
677 -123
667 -122
658 -120
646 -116
631 -113
617 -111
602 -110
590 -107
575 -106
559 -104
540 -101
527 -100
516 -99
504 -96
491 -95
478 -92
469 -91
459 -91
448 -91
438 -91
425 -91
416 -91
406 -91
396 -91
388 -91
378 -91
368 -92
354 -96
346 -98
339 -100
328 -104
320 -108
311 -112
304 -115
297 -118
288 -122
281 -127
274 -130
269 -133
262 -138
257 -140
250 -144
243 -148
236 -153
228 -157
218 -162
211 -166
202 -172
197 -175
192 -179
187 -183
182 -188
177 -193
172 -199
166 -207
161 -212
156 -218
152 -224
144 -234
138 -241
133 -246
131 -250
128 -255
126 -259
123 -265
120 -270
119 -274
116 -279
115 -283
113 -287
111 -294
111 -299
108 -305
107 -310
106 -314
106 -316
106 -319
105 -323
105 -324
105 -327
105 -329
105 -331
105 -332
105 -333
105 -338
105 -341
105 -343
105 -346
105 -350
105 -355
103 -360
103 -365
103 -370
103 -375
103 -381
103 -387
103 -393
103 -400
103 -406
103 -410
103 -415
103 -420
103 -423
103 -430
104 -440
105 -448
105 -457
106 -466
109 -475
111 -483
111 -489
115 -501
117 -512
119 -522
119 -531
119 -540
120 -547
121 -553
122 -561
125 -568
127 -575
130 -581
132 -586
136 -592
139 -600
142 -606
145 -613
148 -622
152 -628
155 -636
159 -643
162 -650
167 -657
171 -664
175 -670
177 -674
182 -681
186 -686
191 -691
196 -694
200 -696
205 -698
214 -702
219 -703
224 -704
228 -706
234 -707
243 -709
249 -711
255 -713
261 -714
268 -716
274 -716
279 -717
284 -717
289 -717
295 -717
300 -717
306 -716
309 -714
313 -710
320 -704
322 -700
327 -693
331 -686
333 -681
336 -674
341 -667
343 -661
347 -651
350 -645
354 -634
356 -626
359 -617
361 -604
364 -593
365 -584
366 -571
367 -564
369 -555
369 -554
371 -544
374 -534
377 -524
380 -517
381 -510
385 -501
389 -490
391 -481
394 -473
397 -463
400 -454
402 -444
407 -434
411 -425
415 -417
420 -406
424 -398
428 -392
432 -387
441 -377
451 -366
455 -361
461 -357
466 -354
472 -349
476 -346
479 -344
484 -343
490 -343
491 -343
494 -343
498 -343
502 -344
506 -346
512 -349
516 -352
523 -356
529 -361
534 -365
541 -369
547 -372
551 -376
557 -381
561 -385
566 -391
570 -397
573 -403
576 -409
580 -416
583 -423
587 -429
591 -438
595 -449
597 -459
600 -463
603 -472
608 -486
612 -498
616 -510
620 -521
624 -532
628 -542
633 -553
636 -561
640 -570
645 -578
649 -588
655 -597
658 -606
663 -615
671 -625
677 -634
686 -648
689 -653
692 -657
696 -663
698 -665
702 -669
703 -672
707 -676
711 -680
713 -682
718 -686
722 -689
725 -690
730 -693
737 -695
745 -698
751 -699
757 -700
762 -700
767 -700
771 -700
776 -700
781 -699
786 -697
792 -693
797 -689
801 -685
806 -680
812 -674
816 -669
819 -663
824 -655
829 -645
832 -637
836 -627
838 -619
839 -609
842 -601
843 -591
844 -584
844 -575
847 -566
847 -560
849 -550
849 -549
851 -545
852 -536
853 -526
854 -517
856 -505
857 -491
857 -475
857 -462
857 -447
858 -433
858 -420
859 -406
859 -392
859 -382
859 -373
859 -365
859 -355
859 -346
859 -337
858 -331
855 -325
854 -321
850 -315
848 -308
843 -300
837 -290
830 -279
823 -266
814 -253
807 -240
801 -232
796 -223
789 -214
782 -208
776 -204
769 -199
763 -195
756 -191
749 -187
740 -182
729 -175
721 -168
706 -157
697 -150
688 -141
682 -138
675 -133
668 -130
660 -128
650 -125
642 -123
633 -120
622 -118
612 -115
599 -111
591 -110
579 -108
568 -106
559 -105
550 -104
540 -103
525 -100
507 -99
492 -95
479 -94
466 -92
454 -90
444 -89
431 -89
414 -89
405 -89
397 -89
388 -89
379 -89
370 -89
362 -89
350 -91
340 -95
332 -97
323 -101
312 -105
303 -108
297 -111
288 -115
282 -118
276 -123
269 -127
261 -132
254 -136
242 -143
234 -148
225 -154
217 -161
210 -167
203 -173
197 -178
191 -186
185 -192
179 -202
175 -206
170 -213
166 -219
162 -224
158 -230
154 -236
149 -243
146 -246
145 -249
144 -252
142 -255
139 -262
134 -272
132 -277
129 -282
125 -288
121 -295
120 -298
119 -302
117 -307
116 -312
115 -316
114 -320
114 -324
112 -330
109 -335
107 -339
106 -344
106 -347
105 -350
104 -352
104 -353
104 -353
