
New trajectory
54 -44
54 -44
54 -44
54 -44
54 -44
54 -45
54 -51
54 -60
54 -70
54 -80
54 -86
55 -91
57 -98
58 -105
58 -113
59 -120
62 -132
65 -141
69 -149
71 -157
74 -166
77 -175
84 -185
89 -195
95 -202
104 -210
120 -217
145 -225
183 -232
219 -237
235 -238
244 -238
252 -236
266 -229
279 -223
290 -218
302 -211
313 -203
324 -194
331 -185
337 -169
345 -151
351 -130
353 -116
357 -99
358 -84
360 -75
359 -68
355 -62
352 -58
345 -54
331 -49
324 -47
317 -44
314 -43
304 -42
294 -42
284 -46
274 -56
270 -66
266 -79
266 -92
266 -113
267 -130
271 -142
277 -156
281 -168
287 -181
292 -189
299 -198
309 -208
324 -219
363 -237
401 -253
426 -259
439 -262
459 -263
486 -263
515 -263
527 -263
545 -261
589 -261
650 -261
694 -259
711 -257
720 -255
729 -251
742 -247
753 -243
766 -234
777 -227
786 -213
791 -201
795 -187
797 -171
799 -156
799 -144
799 -129
797 -118
791 -108
783 -99
778 -90
771 -82
763 -72
751 -64
736 -62
720 -61
697 -61
676 -64
651 -78
639 -84
631 -94
624 -108
618 -122
614 -137
610 -157
608 -178
603 -205
602 -211
602 -230
602 -253
602 -280
598 -303
596 -327
596 -351
596 -369
596 -387
596 -406
596 -423
596 -439
597 -450
601 -466
608 -480
615 -492
623 -501
631 -510
640 -519
649 -526
658 -532
663 -535
671 -539
683 -542
695 -543
705 -543
714 -539
723 -525
724 -511
724 -496
724 -478
721 -461
718 -444
710 -429
702 -413
686 -400
668 -385
650 -373
633 -365
614 -358
591 -352
574 -348
564 -345
552 -342
542 -338
519 -331
490 -324
463 -318
434 -312
406 -310
385 -310
369 -310
352 -310
336 -310
317 -310
304 -314
295 -320
287 -328
281 -338
275 -348
272 -362
263 -383
259 -398
257 -413
253 -433
250 -462
250 -483
250 -500
250 -512
250 -528
256 -540
261 -547
268 -554
274 -557
284 -562
299 -567
311 -568
320 -568
330 -567
338 -562
345 -552
355 -537
360 -524
366 -511
369 -493
372 -479
373 -467
373 -457
369 -445
363 -432
352 -417
338 -403
324 -393
313 -384
301 -377
292 -373
283 -370
270 -367
259 -366
247 -366
236 -366
224 -366
210 -366
191 -366
171 -366
152 -366
140 -366
129 -366
118 -366
109 -366
102 -366
97 -368
90 -377
84 -390
78 -405
74 -420
71 -437
63 -456
60 -473
55 -490
54 -512
50 -539
49 -562
48 -578
43 -597
40 -616
40 -636
38 -663
37 -680
37 -692
37 -709
37 -721
37 -731
41 -741
46 -755
54 -767
60 -774
63 -780
71 -789
78 -799
87 -811
95 -820
106 -832
118 -843
126 -851
139 -859
149 -867
159 -873
172 -881
195 -889
215 -892
228 -893
239 -891
248 -885
256 -879
267 -870
278 -862
292 -848
301 -834
310 -821
318 -804
329 -786
335 -764
337 -742
339 -722
339 -701
338 -687
332 -674
327 -666
322 -659
310 -649
299 -646
290 -643
278 -643
264 -643
253 -646
246 -652
240 -662
235 -675
231 -691
230 -706
230 -720
230 -734
230 -753
239 -771
245 -782
251 -791
260 -801
270 -809
286 -820
303 -828
323 -839
349 -853
380 -866
412 -874
427 -879
436 -880
447 -882
465 -883
483 -883
506 -883
527 -883
545 -885
560 -889
570 -889
581 -889
595 -887
607 -880
620 -874
635 -864
648 -850
662 -835
678 -813
689 -795
693 -778
698 -753
698 -719
697 -704
692 -688
684 -676
677 -664
671 -658
659 -651
642 -644
624 -638
610 -634
598 -633
591 -633
582 -636
571 -652
570 -666
567 -683
567 -702
568 -714
573 -724
581 -737
590 -748
599 -755
609 -765
623 -779
634 -790
640 -793
647 -800
656 -803
664 -807
675 -812
689 -817
698 -820
707 -823
721 -828
731 -833
742 -836
751 -838
757 -838
760 -838
765 -838
772 -838
778 -838
785 -837
793 -835
803 -835
810 -835
813 -835
815 -835
818 -835
821 -835
826 -835
830 -835
831 -835
831 -835
831 -835
831 -835
831 -835
831 -835
831 -835
831 -835
New trajectory
92 -29
92 -29
92 -29
92 -29
90 -29
85 -31
80 -34
76 -38
74 -43
71 -49
69 -56
68 -64
66 -70
65 -77
65 -86
65 -99
